"city","master_category","month","status","frac_closed"
"la","shopping","09","permanently_closed",0.0045689312673818
"la","shopping","10","temporarily_closed",0.133790226460072
"la","shopping","10","permanently_closed",0.00685339690107271
"la","shopping","11","temporarily_closed",0.118295589988081
"la","shopping","11","permanently_closed",0.00963448549860946
"la","shopping","12","temporarily_closed",0.104688120778705
"la","shopping","12","permanently_closed",0.0152959872864521
"london","restaurants","06","temporarily_closed",0.141565584268816
"london","restaurants","06","permanently_closed",0
"london","restaurants","07","temporarily_closed",0.118134558878927
"london","restaurants","07","permanently_closed",0.00105477284713328
"london","restaurants","08","temporarily_closed",0.0867927371355383
"london","restaurants","08","permanently_closed",0.00271227303548557
"london","restaurants","09","temporarily_closed",0.0683342123107059
"london","restaurants","09","permanently_closed",0.00730806901228057
"london","restaurants","10","temporarily_closed",0.052361937768402
"london","restaurants","10","permanently_closed",0.0128079560009041
"london","restaurants","11","temporarily_closed",0.0898817147592858
"london","restaurants","11","permanently_closed",0.0186845475777895
"london","restaurants","12","temporarily_closed",0.0619302343102539
"london","restaurants","12","permanently_closed",0.0268213666842462
"london","shopping","06","temporarily_closed",0.127017314603071
"london","shopping","06","permanently_closed",0
"london","shopping","07","temporarily_closed",0.0565828160731787
"london","shopping","07","permanently_closed",0.000326690623979092
"london","shopping","08","temporarily_closed",0.0260699117935315
"london","shopping","08","permanently_closed",0.00124142437112055
"london","shopping","09","temporarily_closed",0.0186213655668082
"london","shopping","09","permanently_closed",0.00450833061091147
"london","shopping","10","temporarily_closed",0.0156811499509964
"london","shopping","10","permanently_closed",0.00829794184906893
"london","shopping","11","temporarily_closed",0.067624959163672
"london","shopping","11","permanently_closed",0.0116301862136557
"london","shopping","12","temporarily_closed",0.0201894805619079
"london","shopping","12","permanently_closed",0.015811826200588
"madrid","restaurants","06","temporarily_closed",0.0430755660099971
"madrid","restaurants","06","permanently_closed",0
"madrid","restaurants","07","temporarily_closed",0.0274919141428991
"madrid","restaurants","07","permanently_closed",0.00779182593354896
"madrid","restaurants","08","temporarily_closed",0.0241105557189062
"madrid","restaurants","08","permanently_closed",0.0172008232872684
"madrid","restaurants","09","temporarily_closed",0.0244045868862099
"madrid","restaurants","09","permanently_closed",0.0305792413995884
"madrid","restaurants","10","temporarily_closed",0.0230814466333431
"madrid","restaurants","10","permanently_closed",0.0446927374301676
"madrid","restaurants","11","temporarily_closed",0.0251396648044693
"madrid","restaurants","11","permanently_closed",0.0557189062040576
"madrid","restaurants","12","temporarily_closed",0.0201411349603058
"madrid","restaurants","12","permanently_closed",0.0742428697441929
"madrid","shopping","06","temporarily_closed",0.195491043854231
"madrid","shopping","06","permanently_closed",0
"madrid","shopping","07","temporarily_closed",0.136195182211241
"madrid","shopping","07","permanently_closed",0.00108091414453366
"madrid","shopping","08","temporarily_closed",0.0304200123533045
"madrid","shopping","08","permanently_closed",0.00216182828906733
"madrid","shopping","09","temporarily_closed",0.0259419394688079
"madrid","shopping","09","permanently_closed",0.00463248919085855
"madrid","shopping","10","temporarily_closed",0.0233168622606547
"madrid","shopping","10","permanently_closed",0.00772081531809759
"madrid","shopping","11","temporarily_closed",0.0214638665843113
"madrid","shopping","11","permanently_closed",0.0111179740580605
"madrid","shopping","12","temporarily_closed",0.0199197035206918
"madrid","shopping","12","permanently_closed",0.0155960469425571
"manchester","restaurants","06","temporarily_closed",0.126913779210314
"manchester","restaurants","06","permanently_closed",0
"manchester","restaurants","07","temporarily_closed",0.0999194198227236
"manchester","restaurants","07","permanently_closed",0.0008058017727639
"manchester","restaurants","08","temporarily_closed",0.0435132957292506
"manchester","restaurants","08","permanently_closed",0.00282030620467365
"manchester","restaurants","09","temporarily_closed",0.0282030620467365
"manchester","restaurants","09","permanently_closed",0.00846091861402095
"manchester","restaurants","10","temporarily_closed",0.024576954069299
"manchester","restaurants","10","permanently_closed",0.0136986301369863
"manchester","restaurants","11","temporarily_closed",0.0410958904109589
"manchester","restaurants","11","permanently_closed",0.01651893634166
"manchester","restaurants","12","temporarily_closed",0.0757453666398066
"manchester","restaurants","12","permanently_closed",0.0233682514101531
"manchester","shopping","06","temporarily_closed",0.117120343839542
"manchester","shopping","06","permanently_closed",0
"manchester","shopping","07","temporarily_closed",0.046919770773639
"manchester","shopping","07","permanently_closed",0
"manchester","shopping","08","temporarily_closed",0.0186246418338109
"manchester","shopping","08","permanently_closed",0.00107449856733524
"manchester","shopping","09","temporarily_closed",0.0125358166189112
"manchester","shopping","09","permanently_closed",0.00358166189111748
"manchester","shopping","10","temporarily_closed",0.0118194842406877
"manchester","shopping","10","permanently_closed",0.0089541547277937
"manchester","shopping","11","temporarily_closed",0.042621776504298
"manchester","shopping","11","permanently_closed",0.0103868194842407
"manchester","shopping","12","temporarily_closed",0.0175501432664756
"manchester","shopping","12","permanently_closed",0.0146848137535817
"milan","restaurants","06","temporarily_closed",0.0181268882175227
"milan","restaurants","06","permanently_closed",0
"milan","restaurants","07","temporarily_closed",0.00931520644511581
"milan","restaurants","07","permanently_closed",0.00553877139979859
"milan","restaurants","08","temporarily_closed",0.014098690835851
"milan","restaurants","08","permanently_closed",0.013595166163142
"milan","restaurants","09","temporarily_closed",0.0156092648539778
"milan","restaurants","09","permanently_closed",0.0254279959718026
"milan","restaurants","10","temporarily_closed",0.0173716012084592
"milan","restaurants","10","permanently_closed",0.0417925478348439
"milan","restaurants","11","temporarily_closed",0.0322255790533736
"milan","restaurants","11","permanently_closed",0.0548841893252769
"milan","restaurants","12","temporarily_closed",0.0314702920443102
"milan","restaurants","12","permanently_closed",0.0654582074521652
"milan","shopping","06","temporarily_closed",0.328032230703986
"milan","shopping","06","permanently_closed",0
"milan","shopping","07","temporarily_closed",0.262086513994911
"milan","shopping","07","permanently_closed",0.00127226463104326
"milan","shopping","08","temporarily_closed",0.051314673452078
"milan","shopping","08","permanently_closed",0.00318066157760814
"milan","shopping","09","temporarily_closed",0.0464376590330789
"milan","shopping","09","permanently_closed",0.00805767599660729
"milan","shopping","10","temporarily_closed",0.0419847328244275
"milan","shopping","10","permanently_closed",0.0159033078880407
"milan","shopping","11","temporarily_closed",0.061704834605598
"milan","shopping","11","permanently_closed",0.0243850720949958
"milan","shopping","12","temporarily_closed",0.0400763358778626
"milan","shopping","12","permanently_closed",0.0356234096692112
"newcastle","restaurants","06","temporarily_closed",0.0988671472708548
"newcastle","restaurants","06","permanently_closed",0
"newcastle","restaurants","07","temporarily_closed",0.0751802265705458
"newcastle","restaurants","07","permanently_closed",0.00102986611740474
"newcastle","restaurants","08","temporarily_closed",0.0329557157569516
"newcastle","restaurants","08","permanently_closed",0.00308959835221421
"newcastle","restaurants","09","temporarily_closed",0.0216271884654995
"newcastle","restaurants","09","permanently_closed",0.0082389289392379
"newcastle","restaurants","10","temporarily_closed",0.0205973223480947
"newcastle","restaurants","10","permanently_closed",0.0144181256436663
"newcastle","restaurants","11","temporarily_closed",0.0494335736354274
"newcastle","restaurants","11","permanently_closed",0.0185375901132853
"newcastle","restaurants","12","temporarily_closed",0.0710607621009269
"newcastle","restaurants","12","permanently_closed",0.01956745623069
"newcastle","shopping","06","temporarily_closed",0.113464447806354
"newcastle","shopping","06","permanently_closed",0
"newcastle","shopping","07","temporarily_closed",0.0385779122541604
"newcastle","shopping","07","permanently_closed",0
"newcastle","shopping","08","temporarily_closed",0.0121028744326778
"newcastle","shopping","08","permanently_closed",0.00151285930408472
"newcastle","shopping","09","temporarily_closed",0.0075642965204236
"newcastle","shopping","09","permanently_closed",0.00302571860816944
"newcastle","shopping","10","temporarily_closed",0.00605143721633888
"newcastle","shopping","10","permanently_closed",0.00680786686838124
"newcastle","shopping","11","temporarily_closed",0.0559757942511346
"newcastle","shopping","11","permanently_closed",0.00832072617246596
"newcastle","shopping","12","temporarily_closed",0.0136157337367625
"newcastle","shopping","12","permanently_closed",0.0121028744326778
"nyc","restaurants","06","temporarily_closed",0.120183372568455
"nyc","restaurants","06","permanently_closed",0
"nyc","restaurants","07","temporarily_closed",0.0716144220047082
"nyc","restaurants","07","permanently_closed",0.00185850576136786
"nyc","restaurants","08","temporarily_closed",0.0753727336554743
"nyc","restaurants","08","permanently_closed",0.00454301408334366
"nyc","restaurants","09","temporarily_closed",0.0606285879486226
"nyc","restaurants","09","permanently_closed",0.00904472803865692
"nyc","restaurants","10","temporarily_closed",0.0482385495395036
"nyc","restaurants","10","permanently_closed",0.0153223474992772
"nyc","restaurants","11","temporarily_closed",0.0471234460826829
"nyc","restaurants","11","permanently_closed",0.0244909759220254
"nyc","restaurants","12","temporarily_closed",0.0460496427538925
"nyc","restaurants","12","permanently_closed",0.0360550117705365
"nyc","shopping","06","temporarily_closed",0.372654265344587
"nyc","shopping","06","permanently_closed",0
"nyc","shopping","07","temporarily_closed",0.230107350651479
"nyc","shopping","07","permanently_closed",0.000860444153077112
"nyc","shopping","08","temporarily_closed",0.179996722117512
"nyc","shopping","08","permanently_closed",0.00208965008604442
"nyc","shopping","09","temporarily_closed",0.145660903056625
"nyc","shopping","09","permanently_closed",0.00401540604769319
"nyc","shopping","10","temporarily_closed",0.118987134311235
"nyc","shopping","10","permanently_closed",0.00782594443989183
"nyc","shopping","11","temporarily_closed",0.111202163402442
"nyc","shopping","11","permanently_closed",0.0126608211095632
"nyc","shopping","12","temporarily_closed",0.100467098254528
"nyc","shopping","12","permanently_closed",0.020036056707367
"paris","restaurants","06","temporarily_closed",0.0832302235420276
"paris","restaurants","06","permanently_closed",0
"paris","restaurants","07","temporarily_closed",0.013445516786274
"paris","restaurants","07","permanently_closed",0.00329951332178504
"paris","restaurants","08","temporarily_closed",0.0190546894333086
"paris","restaurants","08","permanently_closed",0.00734141714097171
"paris","restaurants","09","temporarily_closed",0.0122081992906046
"paris","restaurants","09","permanently_closed",0.0124556627897385
"paris","restaurants","10","temporarily_closed",0.0117957601253815
"paris","restaurants","10","permanently_closed",0.0171574692732822
"paris","restaurants","11","temporarily_closed",0.0456982595067228
"paris","restaurants","11","permanently_closed",0.0223542027550936
"paris","restaurants","12","temporarily_closed",0.0500701146580879
"paris","restaurants","12","permanently_closed",0.0273034727377712
"paris","shopping","06","temporarily_closed",0.233804854524996
"paris","shopping","06","permanently_closed",0
"paris","shopping","07","temporarily_closed",0.170551358302524
"paris","shopping","07","permanently_closed",0.00112522102555859
"paris","shopping","08","temporarily_closed",0.0469377913518727
"paris","shopping","08","permanently_closed",0.00225044205111718
"paris","shopping","09","temporarily_closed",0.0397846005465359
"paris","shopping","09","permanently_closed",0.00458125703263141
"paris","shopping","10","temporarily_closed",0.0349622247227134
"paris","shopping","10","permanently_closed",0.00819803890049831
"paris","shopping","11","temporarily_closed",0.104404436585758
"paris","shopping","11","permanently_closed",0.011332583185983
"paris","shopping","12","temporarily_closed",0.0368911750522424
"paris","shopping","12","permanently_closed",0.0151101109146439
"rome","restaurants","06","temporarily_closed",0.0199849170437406
"rome","restaurants","06","permanently_closed",0
"rome","restaurants","07","temporarily_closed",0.00886123680241327
"rome","restaurants","07","permanently_closed",0.00791855203619909
"rome","restaurants","08","temporarily_closed",0.0084841628959276
"rome","restaurants","08","permanently_closed",0.0131975867269985
"rome","restaurants","09","temporarily_closed",0.0118778280542986
"rome","restaurants","09","permanently_closed",0.0239441930618401
"rome","restaurants","10","temporarily_closed",0.011500754147813
"rome","restaurants","10","permanently_closed",0.0331825037707391
"rome","restaurants","11","temporarily_closed",0.0154600301659125
"rome","restaurants","11","permanently_closed",0.0414781297134238
"rome","restaurants","12","temporarily_closed",0.017156862745098
"rome","restaurants","12","permanently_closed",0.0486425339366516
"rome","shopping","06","temporarily_closed",0.369797525309336
"rome","shopping","06","permanently_closed",0
"rome","shopping","07","temporarily_closed",0.297244094488189
"rome","shopping","07","permanently_closed",0.000562429696287964
"rome","shopping","08","temporarily_closed",0.0402137232845894
"rome","shopping","08","permanently_closed",0.00267154105736783
"rome","shopping","09","temporarily_closed",0.0365579302587177
"rome","shopping","09","permanently_closed",0.00899887514060742
"rome","shopping","10","temporarily_closed",0.0323397075365579
"rome","shopping","10","permanently_closed",0.0142013498312711
"rome","shopping","11","temporarily_closed",0.030511811023622
"rome","shopping","11","permanently_closed",0.0205286839145107
"rome","shopping","12","temporarily_closed",0.0285433070866142
"rome","shopping","12","permanently_closed",0.0282620922384702
"stockholm","restaurants","06","temporarily_closed",0.00376789751318764
"stockholm","restaurants","06","permanently_closed",0
"stockholm","restaurants","07","temporarily_closed",0.00866616428033157
"stockholm","restaurants","07","permanently_closed",0.00376789751318764
"stockholm","restaurants","08","temporarily_closed",0.012810851544838
"stockholm","restaurants","08","permanently_closed",0.00452147701582517
"stockholm","restaurants","09","temporarily_closed",0.00678221552373775
"stockholm","restaurants","09","permanently_closed",0.00828937452901281
"stockholm","restaurants","10","temporarily_closed",0.00715900527505652
"stockholm","restaurants","10","permanently_closed",0.0139412207987943
"stockholm","restaurants","11","temporarily_closed",0.00828937452901281
"stockholm","restaurants","11","permanently_closed",0.0169555388093444
"stockholm","restaurants","12","temporarily_closed",0.014318010550113
"stockholm","restaurants","12","permanently_closed",0.0241145440844009
"stockholm","shopping","06","temporarily_closed",0.00305216426193119
"stockholm","shopping","06","permanently_closed",0
"stockholm","shopping","07","temporarily_closed",0.00332963374028857
"stockholm","shopping","07","permanently_closed",0.0013873473917869
"stockholm","shopping","08","temporarily_closed",0.00360710321864595
"stockholm","shopping","08","permanently_closed",0.00194228634850166
"stockholm","shopping","09","temporarily_closed",0.00249722530521643
"stockholm","shopping","09","permanently_closed",0.00554938956714761
"stockholm","shopping","10","temporarily_closed",0.00277469478357381
"stockholm","shopping","10","permanently_closed",0.00943396226415094
"stockholm","shopping","11","temporarily_closed",0.00305216426193119
"stockholm","shopping","11","permanently_closed",0.0119311875693674
"stockholm","shopping","12","temporarily_closed",0.00416204217536071
"stockholm","shopping","12","permanently_closed",0.0160932297447281
